	at 95_calcein		DT 95 calcein		H 95 calcein						
Channel.001		Channel.001		Channel.001							
Axis [m]	ROI.01 []	Axis [m]	ROI.01 []	Axis [m]	ROI.01 []						
0.00000000000000000000	86.75444442215670000000	0.00000000000000000000	82.55615669174590000000	0.00000000000000000000	90.90580697823320000000						
0.00000004021336154297	83.89933331781000000000	0.00000004228903527129	79.35352186274140000000	0.00000004604742451157	90.84661050672950000000						
0.00000008042672308593	80.96421667066690000000	0.00000008457807054258	78.92015781924100000000	0.00000009209484902314	90.44228958502050000000						
0.00000012064008462890	78.01263978365600000000	0.00000012686710581387	82.28549927931570000000	0.00000013814227353470	89.80393066442710000000						
0.00000016085344617187	75.94526431852350000000	0.00000016915614108515	86.99700188107840000000	0.00000018418969804627	89.48593772329940000000						
0.00000020106680771484	71.93693337209230000000	0.00000021144517635644	91.77151466434840000000	0.00000023023712255784	88.91977051613540000000						
0.00000024128016925780	67.92872967164580000000	0.00000025373421162773	94.82911912518680000000	0.00000027628454706941	87.74322007342080000000						
0.00000028149353080077	63.98079095376070000000	0.00000029602324689902	94.10389887147590000000	0.00000032233197158097	87.06845269552090000000						
0.00000032170689234374	63.07058182142060000000	0.00000033831228217031	89.35551568686110000000	0.00000036837939609254	86.46009089855220000000						
0.00000036192025388671	66.12249022212920000000	0.00000038060131744160	82.55099986149720000000	0.00000041442682060411	85.91419828863730000000						
0.00000040213361542967	71.13345217045940000000	0.00000042289035271288	76.65744139190410000000	0.00000046047424511568	84.93500314107760000000						
0.00000044234697697264	76.07564614276130000000	0.00000046517938798417	73.63783536268100000000	0.00000050652166962725	84.01558014136050000000						
0.00000048256033851561	79.96595658140470000000	0.00000050746842325546	74.70367108858550000000	0.00000055256909413881	84.31456604466640000000						
0.00000052277370005858	80.97177202078640000000	0.00000054975745852675	79.36601705425040000000	0.00000059861651865038	84.03287031592390000000						
0.00000056298706160154	80.87040778505890000000	0.00000059204649379804	84.24044099014340000000	0.00000064466394316195	85.81608544326410000000						
0.00000060320042314451	77.81353230289170000000	0.00000063433552906932	86.25102549046560000000	0.00000069071136767352	86.40041633340870000000						
0.00000064341378468748	73.99772640726780000000	0.00000067662456434061	86.75793534312340000000	0.00000073675879218508	86.17488805259150000000						
0.00000068362714623044	74.00538490385870000000	0.00000071891359961190	87.91169435959890000000	0.00000078280621669665	85.12186276868100000000						
0.00000072384050777341	75.11375096433430000000	0.00000076120263488319	89.74549102783200000000	0.00000082885364120822	82.80246533915460000000						
